tweet_id,text,label
1.29E+18,"@USER so glad that the ruling class doesn't get the covid. i'm not going to where a mask because i want to be like them!
#nomaskforme #maga 🍔⛳💰🇺🇲",FAVOR
1.30E+18,at the #demconvention last night @USER  lectured &amp; criticized @USER's behavior in the oval office. #hypocrite #epsteinisland #pedogate2020 HTTP,NONE
1.29E+18,"@USER i just wish the corrupt #democrats stfu!!!!🤬
#trump2020nowmorethanever #americafirst #maga 
great again HTTP",FAVOR
1.30E+18,why is @USER famous? wow another cringe-worthy musical number at the #demconvention.,NONE
1.30E+18,@USER it’s genius. the #democrats fall for it every time! #maga,FAVOR
1.30E+18,@USER biden alone can fix it! #gop #trumpsamerica,AGAINST
1.30E+18,the other swing voter  #2020elections #donaldtrump #blackvoters #blacklivesmatter #defeatingtrump #resistingtrump #swingvoters #joebiden #non-voters #voterturnout #gotv #getoutthevote #votersuppression #leftpolitics HTTP,AGAINST
1.30E+18,ken lane made the trip from south carolina to support @USER. #rnc2020 HTTP,NONE
1.30E+18,"#rnc2020 ...so far...
fear mongering, frowning hate filled face spewing division and lies.",AGAINST
1.30E+18,"@USER @USER yes, and lou holtz's was pre-taped in 1860....goodbye coach #rnc2020",NONE
1.23E+18,"@USER @USER where does ""doing 'the wave' with castro"" rate?
potus obama took the fam to cuba and partied with raúl, fidel's brother &amp; successor; what does one think happened to people castro didn't want obama &amp; the world to see? #demdebate HTTP
HTTP",NONE
1.30E+18,"caused mass incarceration against african americans, and has been in politics for 40 years. why didn’t he do something to cut a slice off institutional racism when he was vp? do nothing democrats #trump2020 #wakeupamerica #hidenbiden #",FAVOR
1.30E+18,@USER i live in the suburbs &amp; i'd take #antifa / #blm as neighbors over #maga ppl. 🤷‍♀️you &amp; all your racists followers can go inhabit a deserted island. it would be interesting to see how long all you anti-intellectual's would last. 🤣,AGAINST
1.31E+18,"@USER @USER no more debates, trump is a moron &amp; cannot stop talking over everyone. ridiculous &amp; absurd. 

#debates2020 #bidenharrislandslide2020 #meltdown #americaortrump #liarinchief #bidenvstrump #trumpmeltdown #adderall #taxreturns @USER #covid19  #presidentialdebate2020 #shutupman",AGAINST
1.29E+18,"gen z has been left to clean up cesspools of radical far left corruption in our institutions, our media, and indoctrinated into the minds of our peers. 

we need young conservative leaders to speak up to defend our nation's principles and to stop fearing the mob. #conservative",NONE
